category	word	link on verb	link on VP
vbp	intenstinal	0	1
vbd	conducted	0	1
vbg	conceding	0	1
vbg	rewarding	0	1
vb	capture	0	2
vbz	relaunches	0	1
vbp	start	0	1
vbp	promote	0	1
vbd	sought	0	1
vbd	reversed	0	1
vbp	fuck	0	1
vb	follow	0	2
vb	repeat	0	1
vbd	reported	0	1
vbg	riding	0	1
vb	stem	0	2
vbp	illustrate	0	1
vb	expand	0	1
vbd	broadcast	0	1
vbd	built	0	1
vbn	nicknamed	0	1
vbp	date	0	1
vb	communicate	0	1
vbn	come	0	2
vbd	changed	0	5
vbd	spoke	0	1
vbn	spawned	0	1
vb	legislate	0	1
vbn	started	0	1
vb	wave	0	1
vbg	meeting	0	2
vbp	remain	0	1
vbg	collecting	0	1
vbn	taken	0	2
vb	train	0	1
vbg	converting	0	1
vb	unionize	0	1
vbn	rehabilitated	0	1
vb	give	0	4
vbz	poisoned	0	1
vbd	posted	0	2
vbg	grabbing	0	1
vb	pierce	0	1
vbd	hit	0	2
vbd	accepted	0	1
vbn	inspired	0	1
vbz	pops	0	1
vbn	answered	0	1
vbg	photographing	0	1
vbd	freed	0	1
vbz	mirror	0	1
vbn	tempered	0	1
vb	decry	0	1
vbg	delivering	0	1
vb	reinstate	0	1
vbz	totals	0	1
vb	harpoon	0	1
vbd	met	0	1
vbz	provides	0	3
vb	race	0	1
vbz	remains	0	1
vbg	posting	0	1
vbn	declared	0	1
vbd	claimed	0	1
vbg	redefining	0	1
vbg	transcribing	0	1
vbd	performed	0	1
vb	linoleum	0	1
vbg	attacking	0	2
vb	calm	0	1
vbd	designed	0	1
vb	vlad	0	1
vbd	served	0	1
vbn	dropped	0	1
vbg	minding	0	1
vbz	submits	0	1
vbd	withheld	0	1
vbz	uncovers	0	1
vbp	buy	0	1
vb	increase	0	3
vbd	purloined	0	1
vb	bring	0	1
vb	flickr	0	1
vbn	committed	0	1
vbp	yt	0	1
vbg	same	0	1
vbg	commemorating	0	1
vb	dress	0	1
vb	print	0	2
vbd	read	0	1
vbz	poison	0	1
vbg	destroying	0	1
vbd	download	0	2
vb	target	0	1
vbg	knitting	0	1
vb	gisele	0	1
vbn	hatched	0	1
vb	dominate	0	1
vb	grab	0	1
vbg	proving	0	1
vbd	happy	0	1
